0,1,2
PDCM_DR_v6.4,BROD,United States of America
PDCM_DR_v6.4,CCIA,Australia
PDCM_DR_v6.4,CDH,Singapore
PDCM_DR_v6.4,CHOP,United States of America
PDCM_DR_v6.4,CMP,United Kingdom
PDCM_DR_v6.4,CRL,United States of America
PDCM_DR_v6.4,CSHL,United States of America
PDCM_DR_v6.4,CUIMC,United States of America
PDCM_DR_v6.4,Curie-BC,France
PDCM_DR_v6.4,Curie-LC,France
PDCM_DR_v6.4,Curie-OC,France
PDCM_DR_v6.4,DFCI-CPDM,United States of America
PDCM_DR_v6.4,GCCRI,United States of America
PDCM_DR_v6.4,HCI-BCM,United States of America
PDCM_DR_v6.4,HKU,Hong Kong
PDCM_DR_v6.4,IDI-IRCCS,Italy
PDCM_DR_v6.4,IRCC-CRC,Italy
PDCM_DR_v6.4,IRCC-GC,Italy
PDCM_DR_v6.4,IRCCS-DEB,Italy
PDCM_DR_v6.4,IRCCS-HSM-GE,Italy
PDCM_DR_v6.4,IRCCS-ICH,Italy
PDCM_DR_v6.4,IRCCS-IOR,Italy
PDCM_DR_v6.4,IRCCS-IRE,Italy
PDCM_DR_v6.4,IRCCS-IRFMN,Italy
PDCM_DR_v6.4,IRCCS-IRST,Italy
PDCM_DR_v6.4,IRCCS-ITGPII,Italy
PDCM_DR_v6.4,IRCCS-OPBG,Italy
PDCM_DR_v6.4,IRCCS-PAS,Italy
PDCM_DR_v6.4,JAX,United States of America
PDCM_DR_v6.4,LIH,Luxembourg
PDCM_DR_v6.4,LurieChildrens,United States of America
PDCM_DR_v6.4,MDAnderson,United States of America
PDCM_DR_v6.4,MDAnderson-CCH,United States of America
PDCM_DR_v6.4,NKI,Netherlands
PDCM_DR_v6.4,PDMR,United States of America
PDCM_DR_v6.4,PMLB,Canada
PDCM_DR_v6.4,PMLB-Organoid,Canada
PDCM_DR_v6.4,SANG,United Kingdom
PDCM_DR_v6.4,SJCRH,United States of America
PDCM_DR_v6.4,TRACE,Belgium
PDCM_DR_v6.4,UCD,United States of America
PDCM_DR_v6.4,UMCG,Netherlands
PDCM_DR_v6.4,UMCU,Netherlands
PDCM_DR_v6.4,UOC-BC,United Kingdom
PDCM_DR_v6.4,UOM-BC,United Kingdom
PDCM_DR_v6.4,VHIO-BC,Spain
PDCM_DR_v6.4,VHIO-CRC,Spain
PDCM_DR_v6.4,VHIO-PC,Spain
PDCM_DR_v6.4,WCMC,United States of America
PDCM_DR_v6.4,WUSTL,United States of America
PDCM_DR_v6.4,Wistar-MDAnderson-Penn,United States of America
