model_id,provider,model_type
SIDM00001,CMP,Cell Line
SIDM00827,CMP,Cell Line
SIDM00002,CMP,Cell Line
SIDM00003,CMP,Cell Line
SIDM00004,CMP,Cell Line
SIDM01222,CMP,Cell Line
SIDM00005,CMP,Cell Line
SIDM00549,CMP,Cell Line
SIDM00006,CMP,Cell Line
SIDM01220,CMP,Cell Line
SIDM00682,CMP,Cell Line
SIDM00007,CMP,Cell Line
SIDM00400,CMP,Cell Line
SIDM00008,CMP,Cell Line
SIDM01404,CMP,Cell Line
SIDM00009,CMP,Cell Line
SIDM00011,CMP,Cell Line
SIDM01406,CMP,Cell Line
SIDM01408,CMP,Cell Line
SIDM00014,CMP,Cell Line
SIDM01410,CMP,Cell Line
SIDM01412,CMP,Cell Line
SIDM00015,CMP,Cell Line
SIDM01414,CMP,Cell Line
SIDM01416,CMP,Cell Line
SIDM00107,CMP,Cell Line
SIDM00016,CMP,Cell Line
SIDM00017,CMP,Cell Line
SIDM01420,CMP,Cell Line
SIDM01422,CMP,Cell Line
SIDM00018,CMP,Cell Line
SIDM01424,CMP,Cell Line
SIDM01426,CMP,Cell Line
SIDM01425,CMP,Cell Line
SIDM00019,CMP,Cell Line
SIDM01430,CMP,Cell Line
SIDM00021,CMP,Cell Line
SIDM00022,CMP,Cell Line
SIDM00066,CMP,Cell Line
SIDM00076,CMP,Cell Line
SIDM00026,CMP,Cell Line
SIDM01432,CMP,Cell Line
SIDM01434,CMP,Cell Line
SIDM00027,CMP,Cell Line
SIDM01436,CMP,Cell Line
SIDM01442,CMP,Cell Line
SIDM00028,CMP,Cell Line
SIDM00029,CMP,Cell Line
SIDM01437,CMP,Cell Line
SIDM01439,CMP,Cell Line
SIDM01441,CMP,Cell Line
SIDM01443,CMP,Cell Line
SIDM00031,CMP,Cell Line
SIDM01445,CMP,Cell Line
SIDM01447,CMP,Cell Line
SIDM00032,CMP,Cell Line
SIDM01449,CMP,Cell Line
SIDM01451,CMP,Cell Line
SIDM00035,CMP,Cell Line
SIDM00036,CMP,Cell Line
SIDM00037,CMP,Cell Line
SIDM00038,CMP,Cell Line
SIDM00057,CMP,Cell Line
SIDM00062,CMP,Cell Line
SIDM01257,CMP,Cell Line
SIDM00343,CMP,Cell Line
SIDM00063,CMP,Cell Line
SIDM00635,CMP,Cell Line
SIDM00077,CMP,Cell Line
SIDM00064,CMP,Cell Line
SIDM00065,CMP,Cell Line
SIDM00078,CMP,Cell Line
SIDM00069,CMP,Cell Line
SIDM00070,CMP,Cell Line
SIDM00071,CMP,Cell Line
SIDM00842,CMP,Cell Line
SIDM01461,CMP,Cell Line
SIDM01463,CMP,Cell Line
SIDM01467,CMP,Cell Line
SIDM00073,CMP,Cell Line
SIDM01469,CMP,Cell Line
SIDM01471,CMP,Cell Line
SIDM00074,CMP,Cell Line
SIDM01446,CMP,Cell Line
SIDM01448,CMP,Cell Line
SIDM01450,CMP,Cell Line
SIDM01452,CMP,Cell Line
SIDM01454,CMP,Cell Line
SIDM00079,CMP,Cell Line
SIDM01460,CMP,Cell Line
SIDM00080,CMP,Cell Line
SIDM01462,CMP,Cell Line
SIDM00081,CMP,Cell Line
SIDM00388,CMP,Cell Line
SIDM00082,CMP,Cell Line
SIDM00149,CMP,Cell Line
SIDM00561,CMP,Cell Line
SIDM00083,CMP,Cell Line
SIDM01217,CMP,Cell Line
SIDM00563,CMP,Cell Line
SIDM00084,CMP,Cell Line
SIDM00085,CMP,Cell Line
SIDM00086,CMP,Cell Line
SIDM00087,CMP,Cell Line
SIDM01718,CMP,Cell Line
SIDM00088,CMP,Cell Line
SIDM00089,CMP,Cell Line
SIDM00090,CMP,Cell Line
SIDM00243,CMP,Cell Line
SIDM00091,CMP,Cell Line
SIDM00576,CMP,Cell Line
SIDM00092,CMP,Cell Line
SIDM00445,CMP,Cell Line
SIDM00093,CMP,Cell Line
SIDM00105,CMP,Cell Line
SIDM00094,CMP,Cell Line
SIDM00095,CMP,Cell Line
SIDM00096,CMP,Cell Line
SIDM00097,CMP,Cell Line
SIDM01247,CMP,Cell Line
SIDM01094,CMP,Cell Line
SIDM00098,CMP,Cell Line
SIDM00099,CMP,Cell Line
SIDM00100,CMP,Cell Line
SIDM00101,CMP,Cell Line
SIDM00102,CMP,Cell Line
SIDM00103,CMP,Cell Line
SIDM00104,CMP,Cell Line
SIDM00482,CMP,Cell Line
SIDM00114,CMP,Cell Line
SIDM00379,CMP,Cell Line
SIDM00378,CMP,Cell Line
SIDM00385,CMP,Cell Line
SIDM00108,CMP,Cell Line
SIDM00109,CMP,Cell Line
SIDM00110,CMP,Cell Line
SIDM00111,CMP,Cell Line
SIDM01177,CMP,Cell Line
SIDM00112,CMP,Cell Line
SIDM00113,CMP,Cell Line
SIDM00116,CMP,Cell Line
SIDM00299,CMP,Cell Line
SIDM00117,CMP,Cell Line
SIDM00441,CMP,Cell Line
SIDM00440,CMP,Cell Line
SIDM00118,CMP,Cell Line
SIDM00438,CMP,Cell Line
SIDM00119,CMP,Cell Line
SIDM00579,CMP,Cell Line
SIDM00120,CMP,Cell Line
SIDM00121,CMP,Cell Line
SIDM01249,CMP,Cell Line
SIDM01250,CMP,Cell Line
SIDM01256,CMP,Cell Line
SIDM00122,CMP,Cell Line
SIDM00123,CMP,Cell Line
SIDM00124,CMP,Cell Line
SIDM01201,CMP,Cell Line
SIDM01143,CMP,Cell Line
SIDM00125,CMP,Cell Line
SIDM01203,CMP,Cell Line
SIDM01142,CMP,Cell Line
SIDM00130,CMP,Cell Line
SIDM00362,CMP,Cell Line
SIDM00131,CMP,Cell Line
SIDM00132,CMP,Cell Line
SIDM00133,CMP,Cell Line
SIDM00467,CMP,Cell Line
SIDM00134,CMP,Cell Line
SIDM01092,CMP,Cell Line
SIDM01091,CMP,Cell Line
SIDM00135,CMP,Cell Line
SIDM00136,CMP,Cell Line
SIDM00152,CMP,Cell Line
SIDM00375,CMP,Cell Line
SIDM00137,CMP,Cell Line
SIDM00404,CMP,Cell Line
SIDM00138,CMP,Cell Line
SIDM01175,CMP,Cell Line
SIDM00139,CMP,Cell Line
SIDM00140,CMP,Cell Line
SIDM00323,CMP,Cell Line
SIDM00141,CMP,Cell Line
SIDM00142,CMP,Cell Line
SIDM00399,CMP,Cell Line
SIDM00398,CMP,Cell Line
SIDM00143,CMP,Cell Line
SIDM00410,CMP,Cell Line
SIDM00144,CMP,Cell Line
SIDM00145,CMP,Cell Line
SIDM00153,CMP,Cell Line
SIDM00146,CMP,Cell Line
SIDM00147,CMP,Cell Line
SIDM00148,CMP,Cell Line
SIDM01159,CMP,Cell Line
SIDM00267,CMP,Cell Line
SIDM01205,CMP,Cell Line
SIDM01195,CMP,Cell Line
SIDM00150,CMP,Cell Line
SIDM01102,CMP,Cell Line
SIDM01075,CMP,Cell Line
SIDM00151,CMP,Cell Line
SIDM00903,CMP,Cell Line
SIDM01986,CMP,Cell Line
SIDM00154,CMP,Cell Line
SIDM00158,CMP,Cell Line
SIDM00623,CMP,Cell Line
SIDM00159,CMP,Cell Line
SIDM00488,CMP,Cell Line
SIDM00160,CMP,Cell Line
SIDM00737,CMP,Cell Line
SIDM00161,CMP,Cell Line
SIDM00713,CMP,Cell Line
SIDM00162,CMP,Cell Line
SIDM00706,CMP,Cell Line
SIDM00163,CMP,Cell Line
SIDM00775,CMP,Cell Line
SIDM00164,CMP,Cell Line
SIDM00885,CMP,Cell Line
SIDM00165,CMP,Cell Line
SIDM00874,CMP,Cell Line
SIDM00166,CMP,Cell Line
SIDM00866,CMP,Cell Line
SIDM00167,CMP,Cell Line
SIDM00774,CMP,Cell Line
SIDM00168,CMP,Cell Line
SIDM00772,CMP,Cell Line
SIDM00169,CMP,Cell Line
SIDM00170,CMP,Cell Line
SIDM00171,CMP,Cell Line
SIDM00173,CMP,Cell Line
SIDM00192,CMP,Cell Line
SIDM00193,CMP,Cell Line
SIDM01466,CMP,Cell Line
SIDM00194,CMP,Cell Line
SIDM00210,CMP,Cell Line
SIDM01211,CMP,Cell Line
SIDM01212,CMP,Cell Line
SIDM00211,CMP,Cell Line
SIDM00212,CMP,Cell Line
SIDM00213,CMP,Cell Line
SIDM00228,CMP,Cell Line
SIDM00229,CMP,Cell Line
SIDM00214,CMP,Cell Line
SIDM00644,CMP,Cell Line
SIDM00215,CMP,Cell Line
SIDM00756,CMP,Cell Line
SIDM00216,CMP,Cell Line
SIDM00708,CMP,Cell Line
SIDM00217,CMP,Cell Line
SIDM00702,CMP,Cell Line
SIDM00218,CMP,Cell Line
SIDM00733,CMP,Cell Line
SIDM00219,CMP,Cell Line
SIDM00220,CMP,Cell Line
SIDM00877,CMP,Cell Line
SIDM00675,CMP,Cell Line
SIDM00222,CMP,Cell Line
SIDM00909,CMP,Cell Line
SIDM00223,CMP,Cell Line
SIDM00224,CMP,Cell Line
SIDM00884,CMP,Cell Line
SIDM00225,CMP,Cell Line
SIDM00226,CMP,Cell Line
SIDM01206,CMP,Cell Line
SIDM00872,CMP,Cell Line
SIDM00227,CMP,Cell Line
SIDM00230,CMP,Cell Line
SIDM00233,CMP,Cell Line
SIDM00234,CMP,Cell Line
SIDM00235,CMP,Cell Line
SIDM00236,CMP,Cell Line
SIDM00237,CMP,Cell Line
SIDM00238,CMP,Cell Line
SIDM01468,CMP,Cell Line
SIDM00239,CMP,Cell Line
SIDM01470,CMP,Cell Line
SIDM01472,CMP,Cell Line
SIDM00240,CMP,Cell Line
SIDM00241,CMP,Cell Line
SIDM00242,CMP,Cell Line
SIDM00244,CMP,Cell Line
SIDM00245,CMP,Cell Line
SIDM01474,CMP,Cell Line
SIDM00246,CMP,Cell Line
SIDM01242,CMP,Cell Line
SIDM00247,CMP,Cell Line
SIDM01476,CMP,Cell Line
SIDM01478,CMP,Cell Line
SIDM01477,CMP,Cell Line
SIDM00248,CMP,Cell Line
SIDM00260,CMP,Cell Line
SIDM01473,CMP,Cell Line
SIDM01479,CMP,Cell Line
SIDM01630,CMP,Cell Line
SIDM00249,CMP,Cell Line
SIDM01483,CMP,Cell Line
SIDM00250,CMP,Cell Line
SIDM00251,CMP,Cell Line
SIDM01491,CMP,Cell Line
SIDM00252,CMP,Cell Line
SIDM00268,CMP,Cell Line
SIDM00271,CMP,Cell Line
SIDM00272,CMP,Cell Line
SIDM01503,CMP,Cell Line
SIDM00273,CMP,Cell Line
SIDM01505,CMP,Cell Line
SIDM00274,CMP,Cell Line
SIDM01509,CMP,Cell Line
SIDM01508,CMP,Cell Line
SIDM01511,CMP,Cell Line
SIDM00275,CMP,Cell Line
SIDM00276,CMP,Cell Line
SIDM00277,CMP,Cell Line
SIDM01513,CMP,Cell Line
SIDM01515,CMP,Cell Line
SIDM00278,CMP,Cell Line
SIDM01482,CMP,Cell Line
SIDM00279,CMP,Cell Line
SIDM01486,CMP,Cell Line
SIDM00280,CMP,Cell Line
SIDM00281,CMP,Cell Line
SIDM00282,CMP,Cell Line
SIDM00283,CMP,Cell Line
SIDM00284,CMP,Cell Line
SIDM00285,CMP,Cell Line
SIDM01095,CMP,Cell Line
SIDM00286,CMP,Cell Line
SIDM01281,CMP,Organoid
SIDM00287,CMP,Cell Line
SIDM00288,CMP,Cell Line
SIDM01238,CMP,Cell Line
SIDM01259,CMP,Cell Line
SIDM01288,CMP,Organoid
SIDM01279,CMP,Organoid
SIDM00289,CMP,Cell Line
SIDM00290,CMP,Cell Line
SIDM00291,CMP,Cell Line
SIDM00292,CMP,Cell Line
SIDM00293,CMP,Cell Line
SIDM00294,CMP,Cell Line
SIDM01314,CMP,Organoid
SIDM00295,CMP,Cell Line
SIDM00296,CMP,Cell Line
SIDM00297,CMP,Cell Line
SIDM00298,CMP,Cell Line
SIDM00300,CMP,Cell Line
SIDM01226,CMP,Cell Line
SIDM01278,CMP,Organoid
SIDM00301,CMP,Cell Line
SIDM01282,CMP,Organoid
SIDM00302,CMP,Cell Line
SIDM00303,CMP,Cell Line
SIDM00304,CMP,Cell Line
SIDM00305,CMP,Cell Line
SIDM01293,CMP,Organoid
SIDM00306,CMP,Cell Line
SIDM01304,CMP,Organoid
SIDM01313,CMP,Organoid
SIDM00307,CMP,Cell Line
SIDM01231,CMP,Cell Line
SIDM01305,CMP,Organoid
SIDM01306,CMP,Organoid
SIDM00308,CMP,Cell Line
SIDM01307,CMP,Organoid
SIDM01285,CMP,Organoid
SIDM00309,CMP,Cell Line
SIDM00310,CMP,Cell Line
SIDM00311,CMP,Cell Line
SIDM00312,CMP,Cell Line
SIDM00313,CMP,Cell Line
SIDM01291,CMP,Organoid
SIDM00314,CMP,Cell Line
SIDM01260,CMP,Cell Line
SIDM01261,CMP,Cell Line
SIDM01292,CMP,Organoid
SIDM01275,CMP,Organoid
SIDM00315,CMP,Cell Line
SIDM00316,CMP,Cell Line
SIDM01310,CMP,Organoid
SIDM01311,CMP,Organoid
SIDM01289,CMP,Organoid
SIDM00317,CMP,Cell Line
SIDM01286,CMP,Organoid
SIDM01296,CMP,Organoid
SIDM00318,CMP,Cell Line
SIDM01299,CMP,Organoid
SIDM01273,CMP,Organoid
SIDM01308,CMP,Organoid
SIDM01303,CMP,Organoid
SIDM00319,CMP,Cell Line
SIDM01283,CMP,Organoid
SIDM01277,CMP,Organoid
SIDM00320,CMP,Cell Line
SIDM01298,CMP,Organoid
SIDM00321,CMP,Cell Line
SIDM00322,CMP,Cell Line
SIDM00324,CMP,Cell Line
SIDM01295,CMP,Organoid
SIDM00325,CMP,Cell Line
SIDM01490,CMP,Cell Line
SIDM00326,CMP,Cell Line
SIDM01492,CMP,Cell Line
SIDM01494,CMP,Cell Line
SIDM00327,CMP,Cell Line
SIDM01498,CMP,Cell Line
SIDM01625,CMP,Cell Line
