model_id,provider,model_type,publications,age_in_years_at_collection,diagnosis,tumour_type,primary_site,sex,ethnicity,mt
HCM-BROD-0003-C71,BROD,2-D: Conditionally reprogrammed cells,,82,Glioblastoma NOS,Primary,Brain,Female,White,Cell Line
HCM-BROD-0012-C71,BROD,2-D: Adherent,,56,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0047-C71,BROD,2-D: Adherent,,62,Glioblastoma NOS,Recurrent,Brain,Male,Asian,Cell Line
HCM-BROD-0029-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,58,Glioblastoma NOS,Recurrent,Brain,Male,White,Other
HCM-BROD-0014-C71,BROD,2-D: Adherent,,68,Glioblastoma NOS,Primary,Brain,Male,White,Cell Line
HCM-BROD-0028-C71,BROD,2-D: Adherent,,60,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0002-C71,BROD,2-D: Conditionally reprogrammed cells,,66,Glioblastoma Gliosarcoma,Primary,Brain,Male,White,Cell Line
HCM-BROD-0008-C25,BROD,3-D: Organoid,,64,Pancreatic cancer Other,metastatic,Pancreas,Female,White,Organoid
HCM-BROD-0115-C16,BROD,3-D: Organoid,,43,Stomach cancer Adenocarcinoma (NOS),metastatic,Stomach,Male,White,Organoid
HCM-BROD-0038-C41,BROD,2-D: Adherent,,16,Osteosarcoma --,Primary,Bone,Male,White,Cell Line
HCM-BROD-0045-C16,BROD,3-D: Organoid,,59,Stomach cancer Adenocarcinoma (NOS),metastatic,Stomach,Male,White,Organoid
HCM-BROD-0208-C16,BROD,3-D: Organoid,,71,Stomach cancer Other,Primary,Stomach,Male,White,Organoid
HCM-BROD-0036-C41,BROD,Mixed adherent and suspension,,26,Ewing's sarcoma --,metastatic,Bone,Male,White,Other
HCM-BROD-0106-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,56,Glioblastoma NOS,Recurrent,Brain,Male,White,Other
HCM-BROD-0027-C34,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,66,Lung cancer Carcinoma (NOS),metastatic,Bronchus and lung,Female,White,Other
HCM-BROD-0100-C15,BROD,3-D: Organoid,,65,Esophageal cancer Esophagus adenocarcinoma (NOS),Primary,Esophagus,Male,White,Organoid
HCM-BROD-0095-C15,BROD,3-D: Organoid,,51,Esophageal cancer Esophagus adenocarcinoma (NOS),metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0009-C25,BROD,3-D: Organoid,,49,Pancreatic cancer Adenocarcinoma ductal type,metastatic,Pancreas,Female,White,Organoid
HCM-BROD-0098-C15,BROD,3-D: Organoid,,77,Esophageal cancer Esophagus adenocarcinoma (NOS),metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0007-C49,BROD,Mixed adherent and suspension,,13,Rhabdomyosarcoma Alveolar,metastatic,Bronchus and lung,Male,Black or African American,Other
HCM-BROD-0195-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,50,Glioblastoma NOS,Primary,Brain,Female,White,Other
HCM-BROD-0214-C71,BROD,2-D: Adherent,,45,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0013-C71,BROD,2-D: Adherent,,62,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0196-C71,BROD,2-D: Adherent,,59,Glioblastoma NOS,Primary,Brain,Male,White,Cell Line
HCM-BROD-0046-C71,BROD,2-D: Conditionally reprogrammed cells,,66,Glioblastoma NOS,Recurrent,Brain,Male,White,Cell Line
HCM-BROD-0025-C16,BROD,3-D: Organoid,,74,Stomach cancer Adenocarcinoma (NOS),Primary,Stomach,Male,White,Organoid
HCM-BROD-0020-C15,BROD,2-D: Conditionally reprogrammed cells,,68,Esophageal cancer Esophagus adenocarcinoma (NOS),Primary,Esophagus,Male,White,Cell Line
HCM-BROD-0051-C64,BROD,2-D: Conditionally reprogrammed cells,,4,Wilms tumor Favorable,metastatic,Kidney,Male,White,Cell Line
HCM-BROD-0048-C71,BROD,2-D: Adherent,,66,Glioblastoma NOS,Primary,Brain,Male,Unknown,Cell Line
HCM-BROD-0043-C16,BROD,2-D: Adherent,,70,Stomach cancer Adenocarcinoma (NOS),metastatic,Stomach,Male,White,Cell Line
HCM-BROD-0035-C49,BROD,2-D: Adherent,,11,Rare cancers Undifferentiated sarcoma,metastatic,Bone,Male,White,Cell Line
HCM-BROD-0118-C16,BROD,3-D: Organoid,,46,Stomach cancer Adenocarcinoma (NOS),metastatic,Stomach,Male,Asian,Organoid
HCM-BROD-0053-C49,BROD,2-D: Adherent,,16,Rare cancers Epithelioid sarcoma,metastatic,Connective tissue,Female,White,Cell Line
HCM-BROD-0199-C71,BROD,2-D: Adherent,,49,Glioblastoma NOS,Primary,Brain,Male,Asian,Cell Line
HCM-BROD-0200-C71,BROD,2-D: Adherent,,75,Glioblastoma NOS,Primary,Brain,Male,White,Cell Line
HCM-BROD-0209-C71,BROD,2-D: Adherent,,43,Glioblastoma NOS,Recurrent,Brain,Male,White,Cell Line
HCM-BROD-0213-C71,BROD,2-D: Adherent,,58,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0120-C15,BROD,3-D: Organoid,,47,Esophageal cancer Esophagus adenocarcinoma (NOS),metastatic,Esophagus,Female,White,Organoid
HCM-BROD-0052-C49,BROD,2-D: Conditionally reprogrammed cells,,26,Rare cancers Spindle cell sarcoma,Primary,Connective tissue,Female,White,Cell Line
HCM-BROD-0210-C71,BROD,2-D: Adherent,,54,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0104-C71,BROD,2-D: Adherent,,63,Glioblastoma NOS,Primary,Brain,Female,White,Cell Line
HCM-BROD-0198-C71,BROD,2-D: Adherent,,58,Glioblastoma NOS,Primary,Brain,Male,White,Cell Line
HCM-BROD-0234-C49,BROD,2-D: Conditionally reprogrammed cells,,78,Rare cancers Epithelioid sarcoma,metastatic,Skin,Male,White,Cell Line
HCM-BROD-0236-C34,BROD,2-D: Adherent,,49,Lung cancer Carcinoma (NOS),metastatic,Bronchus and lung,Male,White,Cell Line
HCM-BROD-0103-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,11,Glioblastoma NOS,Primary,Brain,Female,White,Other
HCM-BROD-0116-C16,BROD,3-D: Organoid,,57,Stomach cancer Adenocarcinoma (NOS),Primary,Stomach,Male,White,Organoid
HCM-BROD-0455-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,89,Glioblastoma NOS,Primary,Brain,Male,White,Other
HCM-BROD-0140-C16,BROD,3-D: Organoid,,83,Stomach cancer Adenocarcinoma (NOS),Primary,Stomach,Female,White,Organoid
HCM-BROD-0419-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,72,Glioblastoma NOS,Primary,Brain,Female,White,Other
HCM-BROD-0457-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,69,Glioblastoma NOS,Primary,Brain,Male,White,Other
HCM-BROD-0194-C15,BROD,3-D: Organoid,,47,Esophageal cancer Esophagus adenocarcinoma (NOS),Primary,Esophagus,Male,White,Organoid
HCM-BROD-0235-C16,BROD,3-D: Organoid,,51,Stomach cancer Adenocarcinoma (NOS),metastatic,Stomach,Male,White,Organoid
HCM-BROD-0229-C25,BROD,3-D: Organoid,,61,Pancreatic cancer Adenocarcinoma ductal type,metastatic,Pancreas,Female,White,Organoid
HCM-BROD-0254-C49-B,BROD,2-D: Adherent,,13,Rhabdomyosarcoma Alveolar,metastatic,Connective tissue,Male,White,Cell Line
HCM-BROD-0232-C25,BROD,3-D: Organoid,,74,Pancreatic cancer Adenocarcinoma ductal type,metastatic,Pancreas,Female,White,Organoid
HCM-BROD-0226-C43,BROD,2-D: Adherent,,37,Melanoma --,metastatic,Skin,Male,White,Cell Line
HCM-BROD-0339-C43,BROD,2-D: Adherent,,67,Melanoma --,metastatic,Skin,Male,White,Cell Line
HCM-BROD-0332-C43,BROD,2-D: Adherent,,53,Melanoma --,metastatic,Skin,Male,White,Cell Line
