model_type_cell_line,model_type_organoid,model_type_total,release,provider,molecular_data_biomarker,molecular_data_cna,molecular_data_expression,molecular_data_mut,molecular_data_points_total,model_type_pdx,sample_type_xenograft,sample_type_total,sample_type_patient,model_type_other,sample_type_cell
1508,9,1517,PDCM_DR_v1.0,CMP,,,,,,,,,,,
1508,9,2057,PDCM_DR_v1.0,CRL,438,21333456,38192792,3382462,62909148,540,2565,2565,,,
1508,9,2062,PDCM_DR_v1.0,Curie-BC,15,0,0,0,15,545,15,15,,,
1508,9,2068,PDCM_DR_v1.0,Curie-LC,12,89584,0,501,90097,551,23,23,,,
1508,9,2073,PDCM_DR_v1.0,Curie-OC,0,0,0,0,0,556,0,0,,,
1508,9,2808,PDCM_DR_v1.0,DFCI-CPDM,0,0,0,0,0,1291,0,0,,,
1508,9,2859,PDCM_DR_v1.0,HCI-BCM,54,0,0,0,54,1342,0,18,18,,
1558,111,3029,PDCM_DR_v1.0,HCMI,0,0,0,35733,35733,1342,0,80,0,18,80
1558,111,3668,PDCM_DR_v1.0,IRCC-CRC,0,20850,5044592,26143,5091585,1981,2036,2098,62,18,0
1558,111,3744,PDCM_DR_v1.0,IRCC-GC,0,14989,0,21193,36182,2057,227,227,0,18,0
1558,111,4171,PDCM_DR_v1.0,JAX,0,147915,206523,135160,489598,2484,4252,4252,0,18,0
1558,111,4211,PDCM_DR_v1.0,LIH,6,0,0,111,117,2524,28,28,0,18,0
1558,111,4526,PDCM_DR_v1.0,MDAnderson,0,0,0,0,0,2839,0,0,0,18,0
1558,111,4533,PDCM_DR_v1.0,NKI,21,255864,1229016,393427,1878328,2846,58,121,63,18,0
1558,111,5095,PDCM_DR_v1.0,PDMR,0,0,0,18314,18314,3408,2699,3003,304,18,0
1558,111,5518,PDCM_DR_v1.0,PMLB,0,613699,0,62050,675749,3831,401,583,182,18,0
1558,111,5779,PDCM_DR_v1.0,PPTC,0,8126244,8119999,42780,16289023,4092,0,2176,2176,18,0
1558,111,5949,PDCM_DR_v1.0,SJCRH,0,0,0,0,0,4262,0,0,0,18,0
1558,111,5980,PDCM_DR_v1.0,TRACE,94,0,0,0,94,4293,13,25,12,18,0
1558,111,5988,PDCM_DR_v1.0,UMCG,0,0,0,0,0,4301,0,0,0,18,0
1558,111,6047,PDCM_DR_v1.0,UOC-BC,240,1020326,595188,9465,1625219,4360,175,326,151,18,0
1558,111,6059,PDCM_DR_v1.0,UOM-BC,102,0,402940,204,403246,4372,41,53,12,18,0
1558,111,6064,PDCM_DR_v1.0,VHIO-BC,19,0,0,0,19,4377,5,7,2,18,0
1558,111,6138,PDCM_DR_v1.0,VHIO-CRC,0,0,0,303,303,4451,4,4,0,18,0
1558,111,6181,PDCM_DR_v1.0,VHIO-PC,0,0,0,0,0,4494,0,0,0,18,0
1558,111,6300,PDCM_DR_v1.0,WUSTL,0,0,0,0,0,4613,0,0,0,18,0
1558,111,6557,PDCM_DR_v1.0,Wistar-MDAnderson-Penn,0,0,0,0,0,4870,0,0,0,18,0
