molecular_data_cna,molecular_data_expression,molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_total,sample_type_cell,sample_type_total,release,provider,molecular_data_biomarker,model_type_pdx,sample_type_xenograft,sample_type_patient,model_type_other
12583720,11923545,809824,25317089,1509,37,1546,7956,7956,PDCM_DR_v2.1,CMP,,,,,
21105072,39427529,3382462,63915501,1509,37,2086,0,2565,PDCM_DR_v2.1,CRL,438,540,2565,,
0,0,0,15,1509,37,2091,0,15,PDCM_DR_v2.1,Curie-BC,15,545,15,,
89123,0,501,89636,1509,37,2097,0,23,PDCM_DR_v2.1,Curie-LC,12,551,23,,
0,0,0,0,1509,37,2102,0,0,PDCM_DR_v2.1,Curie-OC,0,556,0,,
0,0,0,0,1509,37,2837,0,0,PDCM_DR_v2.1,DFCI-CPDM,0,1291,0,,
0,0,0,105,1509,37,2904,0,35,PDCM_DR_v2.1,HCI-BCM,105,1358,2,33,
0,0,35733,35733,1559,139,3074,80,80,PDCM_DR_v2.1,HCMI,0,1358,0,0,18
11658,5044592,26143,5082393,1559,139,3713,0,1752,PDCM_DR_v2.1,IRCC-CRC,0,1997,1713,39,18
11809,0,21193,33002,1559,139,3789,0,227,PDCM_DR_v2.1,IRCC-GC,0,2073,227,0,18
147915,206523,135160,489598,1559,139,4216,0,4252,PDCM_DR_v2.1,JAX,0,2500,4252,0,18
137715,0,111,137832,1559,139,4256,0,51,PDCM_DR_v2.1,LIH,6,2540,51,0,18
0,0,0,0,1559,139,4571,0,0,PDCM_DR_v2.1,MDAnderson,0,2855,0,0,18
255864,1229016,393427,1878328,1559,139,4578,0,121,PDCM_DR_v2.1,NKI,21,2862,58,63,18
0,0,18743,18743,1782,366,5709,224,3335,PDCM_DR_v2.1,PDMR,0,3543,2904,207,18
8102556,8119999,42780,16265335,1782,366,5970,0,2176,PDCM_DR_v2.1,PIVOT,0,3804,0,2176,18
3148113,0,311646,3459759,1782,366,6393,0,1019,PDCM_DR_v2.1,PMLB,0,4227,839,180,18
0,0,0,0,1782,366,6563,0,0,PDCM_DR_v2.1,SJCRH,0,4397,0,0,18
0,0,10,104,1782,366,6594,0,31,PDCM_DR_v2.1,TRACE,94,4428,13,18,18
0,0,0,0,1782,366,6602,0,0,PDCM_DR_v2.1,UMCG,0,4436,0,0,18
1020326,595188,9465,1625219,1782,366,6661,0,326,PDCM_DR_v2.1,UOC-BC,240,4495,175,151,18
0,402940,204,403246,1782,366,6673,0,53,PDCM_DR_v2.1,UOM-BC,102,4507,41,12,18
0,0,0,23,1782,366,6680,0,9,PDCM_DR_v2.1,VHIO-BC,23,4514,7,2,18
0,0,303,303,1782,366,6754,0,4,PDCM_DR_v2.1,VHIO-CRC,0,4588,4,0,18
0,0,0,0,1782,366,6797,0,0,PDCM_DR_v2.1,VHIO-PC,0,4631,0,0,18
0,0,0,0,1782,366,6916,0,0,PDCM_DR_v2.1,WUSTL,0,4750,0,0,18
0,0,0,0,1782,366,7173,0,0,PDCM_DR_v2.1,Wistar-MDAnderson-Penn,0,5007,0,0,18
