molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_other,model_type_total,sample_type_cell,sample_type_total,release,provider,molecular_data_cna,molecular_data_expression,treatment_data_points,model_type_pdx,sample_type_patient,molecular_data_biomarker,sample_type_xenograft,drug_data_points
26578,26578,50,23,18,91,42,42,PDCM_DR_v3.1,BROD,,,,,,,,
15432,5747668,50,23,18,181,0,802,PDCM_DR_v3.1,CCIA,2861617,2869983,636,90,802,,,
4841,2259477,50,23,18,216,0,315,PDCM_DR_v3.1,CHOP,1125355,1128645,636,125,315,,,
809824,25317089,1559,64,18,1766,7956,7956,PDCM_DR_v3.1,CMP,12583720,11923545,0,125,0,,,
3382462,63915579,1559,64,18,2306,0,2565,PDCM_DR_v3.1,CRL,21105072,39427529,78,665,0,438,2565,
9155,9155,1559,118,18,2360,38,38,PDCM_DR_v3.1,CSHL,0,0,0,665,0,0,0,
0,15,1559,118,18,2365,0,15,PDCM_DR_v3.1,Curie-BC,0,0,0,670,0,15,15,
501,89649,1559,118,18,2371,0,23,PDCM_DR_v3.1,Curie-LC,89123,0,0,676,0,12,23,13
0,0,1559,118,18,2376,0,0,PDCM_DR_v3.1,Curie-OC,0,0,0,681,0,0,0,0
0,3514,1559,118,18,3111,0,0,PDCM_DR_v3.1,DFCI-CPDM,0,0,0,1416,0,0,0,3514
11193,5036293,1559,118,18,3192,0,700,PDCM_DR_v3.1,GCCRI,2507934,2515266,1900,1497,700,0,0,0
0,176,1559,118,18,3259,0,35,PDCM_DR_v3.1,HCI-BCM,0,0,61,1564,33,105,2,10
26143,5082943,1559,118,18,3898,0,1752,PDCM_DR_v3.1,IRCC-CRC,11658,5044592,0,2203,39,0,1713,550
21193,33022,1559,118,18,3974,0,227,PDCM_DR_v3.1,IRCC-GC,11809,0,20,2279,0,0,227,0
135160,490001,1559,118,18,4401,0,4252,PDCM_DR_v3.1,JAX,147915,206523,0,2706,0,0,4252,403
111,137861,1559,118,18,4441,0,51,PDCM_DR_v3.1,LIH,137715,0,29,2746,0,6,51,0
10329,2708884,1559,118,18,4488,0,292,PDCM_DR_v3.1,LurieChildrens,1350426,1348129,0,2793,292,0,0,0
0,0,1559,118,18,4804,0,0,PDCM_DR_v3.1,MDAnderson,0,0,0,3109,0,0,0,0
985,516742,1559,118,18,4812,0,67,PDCM_DR_v3.1,MDAnderson-CCH,257224,257976,557,3117,67,0,0,0
393427,1878328,1559,118,18,4819,0,121,PDCM_DR_v3.1,NKI,255864,1229016,0,3124,63,21,58,0
18743,20033,1782,345,18,5950,224,3335,PDCM_DR_v3.1,PDMR,0,0,1290,3805,207,0,2904,0
311646,3459759,1782,345,18,6373,0,1019,PDCM_DR_v3.1,PMLB,3148113,0,0,4228,180,0,839,0
0,0,1782,370,18,6398,0,0,PDCM_DR_v3.1,SANG,0,0,0,4228,0,0,0,0
0,0,1782,370,18,6568,0,0,PDCM_DR_v3.1,SJCRH,0,0,0,4398,0,0,0,0
10,192,1782,370,18,6599,0,31,PDCM_DR_v3.1,TRACE,0,0,80,4429,18,94,13,8
0,0,1782,370,18,6607,0,0,PDCM_DR_v3.1,UMCG,0,0,0,4437,0,0,0,0
9465,1625329,1782,370,18,6666,0,326,PDCM_DR_v3.1,UOC-BC,1020326,595188,110,4496,151,240,175,0
204,403286,1782,370,18,6678,0,53,PDCM_DR_v3.1,UOM-BC,0,402940,40,4508,12,102,41,0
0,23,1782,370,18,6685,0,9,PDCM_DR_v3.1,VHIO-BC,0,0,0,4515,2,23,7,0
303,303,1782,370,18,6759,0,4,PDCM_DR_v3.1,VHIO-CRC,0,0,0,4589,0,0,4,0
0,0,1782,370,18,6802,0,0,PDCM_DR_v3.1,VHIO-PC,0,0,0,4632,0,0,0,0
0,0,1782,370,18,6921,0,0,PDCM_DR_v3.1,WUSTL,0,0,0,4751,0,0,0,0
0,0,1782,370,18,7178,0,0,PDCM_DR_v3.1,Wistar-MDAnderson-Penn,0,0,0,5008,0,0,0,0
