molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_other,model_type_total,sample_type_cell,sample_type_total,release,provider,molecular_data_cna,molecular_data_expression,treatment_data_points,model_type_pdx,sample_type_patient,molecular_data_biomarker,sample_type_xenograft,drug_data_points,image_data_points
26578,26578,50,23,18,91,42,42,PDCM_DR_v5.0,BROD,,,,,,,,,
15432,5747668,50,23,18,181,0,802,PDCM_DR_v5.0,CCIA,2861617,2869983,636,90,802,,,,
4841,2259477,50,23,18,216,0,315,PDCM_DR_v5.0,CHOP,1125355,1128645,636,125,315,,,,
809824,25317089,1559,64,18,1766,7956,7956,PDCM_DR_v5.0,CMP,12583720,11923545,0,125,0,,,,
3382462,63915579,1559,64,18,2306,0,2565,PDCM_DR_v5.0,CRL,21105072,39427529,78,665,0,438,2565,,
9155,9155,1559,118,18,2360,38,38,PDCM_DR_v5.0,CSHL,0,0,0,665,0,0,0,,
1287,14525,1559,150,18,2392,288,288,PDCM_DR_v5.0,CUIMC,13206,0,0,665,0,32,0,,
87,480,1559,165,18,2441,0,252,PDCM_DR_v5.0,Curie-BC,0,0,155,699,0,71,252,167,
501,89649,1559,165,18,2447,0,23,PDCM_DR_v5.0,Curie-LC,89123,0,0,705,0,12,23,13,
0,0,1559,165,18,2452,0,0,PDCM_DR_v5.0,Curie-OC,0,0,0,710,0,0,0,0,
0,3514,1559,165,18,3187,0,0,PDCM_DR_v5.0,DFCI-CPDM,0,0,0,1445,0,0,0,3514,
11193,5036293,1559,165,18,3268,0,700,PDCM_DR_v5.0,GCCRI,2507934,2515266,1900,1526,700,0,0,0,
0,176,1559,165,18,3335,0,35,PDCM_DR_v5.0,HCI-BCM,0,0,61,1593,33,105,2,10,
0,0,1559,199,18,3369,0,0,PDCM_DR_v5.0,HKU,0,0,0,1593,0,0,0,0,
26143,5082943,1559,199,18,4008,0,1752,PDCM_DR_v5.0,IRCC-CRC,11658,5044592,0,2232,39,0,1713,550,
21193,33022,1559,199,18,4084,0,227,PDCM_DR_v5.0,IRCC-GC,11809,0,20,2308,0,0,227,0,
135160,493273,1559,199,18,4511,0,8300,PDCM_DR_v5.0,JAX,147915,206523,0,2735,0,592,8300,403,2680
204,677262,1559,199,18,4556,0,111,PDCM_DR_v5.0,LIH,137715,539297,40,2780,0,6,111,0,0
10329,2708884,1559,199,18,4603,0,292,PDCM_DR_v5.0,LurieChildrens,1350426,1348129,0,2827,292,0,0,0,0
0,0,1559,199,18,4919,0,0,PDCM_DR_v5.0,MDAnderson,0,0,0,3143,0,0,0,0,0
985,516742,1559,199,18,4927,0,67,PDCM_DR_v5.0,MDAnderson-CCH,257224,257976,557,3151,67,0,0,0,0
393427,1878328,1559,199,18,4934,0,121,PDCM_DR_v5.0,NKI,255864,1229016,0,3158,63,21,58,0,0
18743,12584756,1782,426,18,6065,1114,4225,PDCM_DR_v5.0,PDMR,0,12564723,1290,3839,207,0,2904,0,0
311646,3459759,1782,426,18,6488,0,1019,PDCM_DR_v5.0,PMLB,3148113,0,0,4262,180,0,839,0,0
0,0,1782,451,18,6513,0,0,PDCM_DR_v5.0,SANG,0,0,0,4262,0,0,0,0,0
0,585,1782,451,18,6683,0,195,PDCM_DR_v5.0,SJCRH,0,0,0,4432,0,585,195,0,0
10,192,1782,451,18,6714,0,31,PDCM_DR_v5.0,TRACE,0,0,80,4463,18,94,13,8,0
0,0,1782,451,18,6741,0,0,PDCM_DR_v5.0,UCD,0,0,0,4490,0,0,0,0,0
0,0,1782,451,18,6749,0,0,PDCM_DR_v5.0,UMCG,0,0,0,4498,0,0,0,0,0
9465,1625329,1782,451,18,6808,0,326,PDCM_DR_v5.0,UOC-BC,1020326,595188,110,4557,151,240,175,0,0
204,403286,1782,451,18,6820,0,53,PDCM_DR_v5.0,UOM-BC,0,402940,40,4569,12,102,41,0,0
0,23,1782,451,18,6827,0,9,PDCM_DR_v5.0,VHIO-BC,0,0,0,4576,2,23,7,0,0
303,303,1782,451,18,6901,0,4,PDCM_DR_v5.0,VHIO-CRC,0,0,0,4650,0,0,4,0,0
0,0,1782,451,18,6944,0,0,PDCM_DR_v5.0,VHIO-PC,0,0,0,4693,0,0,0,0,0
0,0,1782,451,18,7063,0,0,PDCM_DR_v5.0,WUSTL,0,0,0,4812,0,0,0,0,0
0,0,1782,451,18,7320,0,0,PDCM_DR_v5.0,Wistar-MDAnderson-Penn,0,0,0,5069,0,0,0,0,0
