molecular_data_biomarker,molecular_data_cna,molecular_data_expression,molecular_data_immunemarker,molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_other,model_type_total,sample_type_cell,sample_type_patient,sample_type_total,release,provider,model_type_pdx,sample_type_xenograft
94,8972204,9644940,110,57387,18674735,104,94,33,231,1482,82,1564,PDCM_DR_v5.2,BROD,,
0,2861617,2869983,0,15432,5747032,104,94,33,321,0,802,802,PDCM_DR_v5.2,CCIA,90,
0,1125355,1128645,0,4841,2258841,104,94,33,356,0,315,315,PDCM_DR_v5.2,CHOP,125,
0,12583720,11923545,5870,808902,25322037,1613,135,33,1906,66756,0,66756,PDCM_DR_v5.2,CMP,125,
438,21105072,39427529,1554,3382462,63917055,1613,135,33,2446,0,0,3741,PDCM_DR_v5.2,CRL,665,3741
239,7153514,6308640,248,24779,13487420,1613,356,33,2667,2097,66,2163,PDCM_DR_v5.2,CSHL,665,0
0,13206,446736,160,1287,461389,1613,388,33,2699,1688,0,1688,PDCM_DR_v5.2,CUIMC,665,0
52,0,0,0,32,84,1613,403,33,2748,0,0,76,PDCM_DR_v5.2,Curie-BC,699,76
12,89123,0,0,495,89630,1613,403,33,2754,0,0,23,PDCM_DR_v5.2,Curie-LC,705,23
0,0,0,0,0,0,1613,403,33,2759,0,0,0,PDCM_DR_v5.2,Curie-OC,710,0
0,0,0,213,0,213,1613,403,33,3494,0,0,71,PDCM_DR_v5.2,DFCI-CPDM,1445,71
0,2507934,2515266,0,11193,5034393,1613,403,33,3575,0,700,700,PDCM_DR_v5.2,GCCRI,1526,0
105,0,0,0,0,105,1613,403,33,3642,0,33,35,PDCM_DR_v5.2,HCI-BCM,1593,2
0,0,0,0,0,0,1613,437,33,3676,0,0,0,PDCM_DR_v5.2,HKU,1593,0
0,11658,5044592,0,26035,5082285,1613,437,33,4315,0,39,1752,PDCM_DR_v5.2,IRCC-CRC,2232,1713
0,11809,0,0,17418,29227,1613,437,33,4391,0,0,226,PDCM_DR_v5.2,IRCC-GC,2308,226
0,147915,206523,1480,135105,491023,1613,437,33,4818,0,0,18736,PDCM_DR_v5.2,JAX,2735,18736
6,137715,539297,0,117,677135,1613,437,33,4863,0,0,104,PDCM_DR_v5.2,LIH,2780,104
0,1350426,1348129,0,10329,2708884,1613,437,33,4910,0,292,292,PDCM_DR_v5.2,LurieChildrens,2827,0
0,0,0,0,0,0,1613,437,33,5226,0,0,0,PDCM_DR_v5.2,MDAnderson,3143,0
0,257224,257976,0,985,516185,1613,437,33,5234,0,67,67,PDCM_DR_v5.2,MDAnderson-CCH,3151,0
21,255864,1229016,0,393427,1878328,1613,437,33,5241,0,63,121,PDCM_DR_v5.2,NKI,3158,58
0,0,12564723,4080,18743,12587546,1836,664,33,6372,21141,7023,31068,PDCM_DR_v5.2,PDMR,3839,2904
0,3148113,0,0,311346,3459459,1836,664,33,6795,0,179,1018,PDCM_DR_v5.2,PMLB,4262,839
0,0,0,0,0,0,1836,916,33,7047,0,0,0,PDCM_DR_v5.2,PMLB-Organoid,4262,0
123,5213578,3882240,105,20120,9116166,1836,1032,33,7163,958,18,976,PDCM_DR_v5.2,SANG,4262,0
0,0,0,585,0,585,1836,1032,33,7333,0,0,195,PDCM_DR_v5.2,SJCRH,4432,195
94,0,0,0,10,104,1836,1032,33,7364,0,18,31,PDCM_DR_v5.2,TRACE,4463,13
0,0,0,0,0,0,1836,1032,33,7391,0,0,0,PDCM_DR_v5.2,UCD,4490,0
0,0,0,0,0,0,1836,1032,33,7399,0,0,0,PDCM_DR_v5.2,UMCG,4498,0
240,1020326,595188,0,7994,1623748,1836,1032,33,7458,0,151,326,PDCM_DR_v5.2,UOC-BC,4557,175
102,0,402940,0,204,403246,1836,1032,33,7470,0,12,53,PDCM_DR_v5.2,UOM-BC,4569,41
23,0,0,0,0,23,1836,1032,33,7477,0,2,9,PDCM_DR_v5.2,VHIO-BC,4576,7
0,0,0,0,299,299,1836,1032,33,7551,0,0,4,PDCM_DR_v5.2,VHIO-CRC,4650,4
0,0,0,0,0,0,1836,1032,33,7594,0,0,0,PDCM_DR_v5.2,VHIO-PC,4693,0
25,545607,727920,15,5383,1278950,1836,1047,33,7609,95,6,101,PDCM_DR_v5.2,WCMC,4693,0
0,0,0,0,0,0,1836,1047,33,7728,0,0,0,PDCM_DR_v5.2,WUSTL,4812,0
0,0,0,0,0,0,1836,1047,33,7985,0,0,0,PDCM_DR_v5.2,Wistar-MDAnderson-Penn,5069,0
