sample_id,platform_id_x,type,provider,molecular_characterisation_type,instrument_model,library_strategy,platform_id_y,model_id
Oncotest-R0026,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-546
Oncotest-R0026,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-546
Oncotest-R0074,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-3039
Oncotest-R0074,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-3039
Oncotest-R0042,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2131
Oncotest-R0042,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2131
CRL-R0160,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2938
CRL-R0160,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2938
Oncotest-R0033,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2045
Oncotest-R0033,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2045
EP01R0013,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-397
EP01R0013,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-397
CRL-R0200,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2521
CRL-R0200,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2521
Oncotest-R0005,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1997
Oncotest-R0005,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1997
CRL-R0221,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2050
CRL-R0221,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2050
CRL-R0185,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-625
CRL-R0185,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-625
CRL-R0226,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-MRI-H-215
CRL-R0226,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-MRI-H-215
CRL-R0247,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-4031
CRL-R0247,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-4031
CRL-R0187,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1834
CRL-R0187,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1834
CRL-R0166,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-LI-002
CRL-R0166,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-LI-002
B01R0011,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-592
B01R0011,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-592
B01R0010,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-586
B01R0010,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-586
Oncotest-R0106,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2324
Oncotest-R0106,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2324
CRL-R0262,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2873
CRL-R0262,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2873
CRL-R0263,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1407
CRL-R0263,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1407
Oncotest-R0043,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2132
Oncotest-R0043,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2132
CRL-R0208,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2640
CRL-R0208,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2640
Oncotest-R0072,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-633
Oncotest-R0072,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-633
CRL-R0233,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2085
CRL-R0233,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2085
CRL-R0206,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2708
CRL-R0206,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2708
Oncotest-R0034,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2046
Oncotest-R0034,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2046
Oncotest-R0066,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2720
Oncotest-R0066,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2720
Oncotest-R0069,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2734
Oncotest-R0069,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2734
Oncotest-R0147,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2052
Oncotest-R0147,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2052
Oncotest-R0021,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2250
Oncotest-R0021,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2250
CRL-R0152,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-OV-027
CRL-R0152,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-OV-027
CRL-R0183,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-430
CRL-R0183,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-430
Oncotest-R0071,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1228
Oncotest-R0071,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1228
CRL-R0229,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2709
CRL-R0229,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2709
A01R0007,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2127
A01R0007,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2127
A01R0017,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-975
A01R0017,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-975
CRL-R0205,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2443
CRL-R0205,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2443
Oncotest-R0091,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1176
Oncotest-R0091,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1176
C01R0007,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1162
C01R0007,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1162
Oncotest-R0061,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-550
Oncotest-R0061,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-550
B01R0022,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-597
B01R0022,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-597
C01R0004,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-583
C01R0004,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-583
A01R0002,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-742
A01R0002,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-742
Oncotest-R0039,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2094
Oncotest-R0039,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2094
CRL-R0254,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-622
CRL-R0254,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-622
CRL-R0249,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2725
CRL-R0249,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2725
Oncotest-R0035,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2057
Oncotest-R0035,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2057
CRL-R0190,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2282
CRL-R0190,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2282
CRL-R0218,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2527
CRL-R0218,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2527
B01R0001,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1012
B01R0001,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1012
A01R0027,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1991
A01R0027,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1991
B01R0020,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-409
B01R0020,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-409
CRL-R0192,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2056
CRL-R0192,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2056
B01R0012,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-623
B01R0012,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-623
Oncotest-R0083,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2095
Oncotest-R0083,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2095
Oncotest-R0115,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2081
Oncotest-R0115,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2081
Oncotest-R0064,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2678
Oncotest-R0064,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2678
CRL-R0214,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2888
CRL-R0214,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2888
CRL-R0167,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-LI-006
CRL-R0167,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-LI-006
A01R0025,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-233
A01R0025,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-233
CRL-R0169,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-4009
CRL-R0169,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-4009
Oncotest-R0079,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2478
Oncotest-R0079,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2478
Oncotest-R0151,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-OV39
Oncotest-R0151,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-OV39
Oncotest-R0101,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2108
Oncotest-R0101,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2108
A01R0039,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-609
A01R0039,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-609
