0,1,2
PDCM_DR_v6.6,BROD,United States of America
PDCM_DR_v6.6,CCC,United States of America
PDCM_DR_v6.6,CCIA,Australia
PDCM_DR_v6.6,CDH,Singapore
PDCM_DR_v6.6,CHOP,United States of America
PDCM_DR_v6.6,CMP,United Kingdom
PDCM_DR_v6.6,CRL,United States of America
PDCM_DR_v6.6,CSHL,United States of America
PDCM_DR_v6.6,CUIMC,United States of America
PDCM_DR_v6.6,Curie-BC,France
PDCM_DR_v6.6,Curie-LC,France
PDCM_DR_v6.6,Curie-OC,France
PDCM_DR_v6.6,DFCI-CPDM,United States of America
PDCM_DR_v6.6,GCCRI,United States of America
PDCM_DR_v6.6,HCI-BCM,United States of America
PDCM_DR_v6.6,HKU,Hong Kong
PDCM_DR_v6.6,IRCCS-CRC,Italy
PDCM_DR_v6.6,IRCCS-CRO,Italy
PDCM_DR_v6.6,IRCCS-CSS,Italy
PDCM_DR_v6.6,IRCCS-DEB,Italy
PDCM_DR_v6.6,IRCCS-GC,Italy
PDCM_DR_v6.6,IRCCS-HSM-GE,Italy
PDCM_DR_v6.6,IRCCS-ICH,Italy
PDCM_DR_v6.6,IRCCS-IDI,Italy
PDCM_DR_v6.6,IRCCS-IOR,Italy
PDCM_DR_v6.6,IRCCS-IRE,Italy
PDCM_DR_v6.6,IRCCS-IRFMN,Italy
PDCM_DR_v6.6,IRCCS-IRST,Italy
PDCM_DR_v6.6,IRCCS-ITGPII,Italy
PDCM_DR_v6.6,IRCCS-OPBG,Italy
PDCM_DR_v6.6,IRCCS-PAS,Italy
PDCM_DR_v6.6,JAX,United States of America
PDCM_DR_v6.6,LIH,Luxembourg
PDCM_DR_v6.6,LurieChildrens,United States of America
PDCM_DR_v6.6,MBDI,Australia
PDCM_DR_v6.6,MDAnderson,United States of America
PDCM_DR_v6.6,MDAnderson-CCH,United States of America
PDCM_DR_v6.6,NKI,Netherlands
PDCM_DR_v6.6,PDMR,United States of America
PDCM_DR_v6.6,PMLB,Canada
PDCM_DR_v6.6,PMLB-Organoid,Canada
PDCM_DR_v6.6,SANG,United Kingdom
PDCM_DR_v6.6,SJCRH,United States of America
PDCM_DR_v6.6,TRACE,Belgium
PDCM_DR_v6.6,UCD,United States of America
PDCM_DR_v6.6,UMCG,Netherlands
PDCM_DR_v6.6,UMCU,Netherlands
PDCM_DR_v6.6,UOC-BC,United Kingdom
PDCM_DR_v6.6,UOM-BC,United Kingdom
PDCM_DR_v6.6,VHIO-BC,Spain
PDCM_DR_v6.6,VHIO-CRC,Spain
PDCM_DR_v6.6,VHIO-PC,Spain
PDCM_DR_v6.6,WCMC,United States of America
PDCM_DR_v6.6,WUSTL,United States of America
PDCM_DR_v6.6,Wistar-MDAnderson-Penn,United States of America
