model_id,provider,model_type,PDCM_DR_v1.0,PDCM_DR_v2.0,PDCM_DR_v2.1,PDCM_DR_v3.0,PDCM_DR_v3.1,PDCM_DR_v4.0,PDCM_DR_v5.0,PDCM_DR_v5.1,PDCM_DR_v5.2,PDCM_DR_v5.3,PDCM_DR_v6.0,PDCM_DR_v6.1,PDCM_DR_v6.2,PDCM_DR_v6.3,PDCM_DR_v6.4,PDCM_DR_v6.5,PDCM_DR_v6.6
112475-105-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
114348-004-r,pdmr,pdx,56.0,56.0,54.0,54.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,58.0,58.0
114434-197-r,pdmr,pdx,56.0,56.0,49.0,49.0,45.0,45.0,45.0,45.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
114551-080-t,pdmr,pdx,54.0,54.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
114551-080-t-v1-organoid,pdmr,organoid,,,33.0,33.0,33.0,33.0,36.0,36.0,39.0,39.0,46.0,46.0,46.0,46.0,46.0,46.0,50.0
114868-125-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0
116655-072-r,pdmr,pdx,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,52.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
117519-064-t,pdmr,pdx,54.0,54.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0
119177-322-r1,pdmr,pdx,56.0,56.0,54.0,54.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,58.0,58.0
119387-122-r,pdmr,pdx,54.0,54.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
