model_id,provider,model_type,publications,age_in_years_at_collection,diagnosis,tumour_type,primary_site,sex,ethnicity,mt
HCM-BROD-0011-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,54,Glioblastoma NOS,Primary,Brain,Male,White,Other
HCM-BROD-0003-C71,BROD,Cell Line,,82,Glioblastoma NOS,Primary,Brain,Female,White,Cell Line
HCM-BROD-0012-C71,BROD,Cell Line,,56,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0047-C71,BROD,Cell Line,,62,Glioblastoma NOS,Recurrent,Brain,Male,Asian,Cell Line
HCM-BROD-0029-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,58,Glioblastoma NOS,Recurrent,Brain,Male,White,Other
HCM-BROD-0014-C71,BROD,Cell Line,,68,Glioblastoma NOS,Primary,Brain,Male,White,Cell Line
HCM-BROD-0028-C71,BROD,Cell Line,,60,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0002-C71,BROD,Cell Line,,66,Glioblastoma Gliosarcoma,Primary,Brain,Male,White,Cell Line
HCM-BROD-0008-C25,BROD,3-D: Organoid,,64,Pancreatic cancer Other,Metastatic,Pancreas,Female,White,Organoid
HCM-BROD-0115-C16,BROD,3-D: Organoid,,43,Stomach cancer Adenocarcinoma (NOS),Metastatic,Stomach,Male,White,Organoid
HCM-BROD-0038-C41,BROD,Cell Line,,16,Osteosarcoma,Primary,Bone,Male,White,Cell Line
HCM-BROD-0045-C16,BROD,3-D: Organoid,,59,Stomach cancer Adenocarcinoma (NOS),Metastatic,Stomach,Male,White,Organoid
HCM-BROD-0208-C16,BROD,3-D: Organoid,,71,Stomach cancer Other,Primary,Stomach,Male,White,Organoid
HCM-BROD-0036-C41,BROD,Cell Line,,26,Ewing's sarcoma,Metastatic,Bone,Male,White,Cell Line
HCM-BROD-0106-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,56,Glioblastoma NOS,Recurrent,Brain,Male,White,Other
HCM-BROD-0027-C34,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,66,Lung cancer Carcinoma (NOS),Metastatic,Bronchus and lung,Female,White,Other
HCM-BROD-0100-C15,BROD,3-D: Organoid,,65,Esophageal cancer Esophagus adenocarcinoma (NOS),Primary,Esophagus,Male,White,Organoid
HCM-BROD-0095-C15,BROD,3-D: Organoid,,51,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0009-C25,BROD,3-D: Organoid,,49,Pancreatic cancer Adenocarcinoma ductal type,Metastatic,Pancreas,Female,White,Organoid
HCM-BROD-0098-C15,BROD,3-D: Organoid,,77,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Male,White,Organoid
HCM-BROD-0007-C49,BROD,Cell Line,,13,Rhabdomyosarcoma Alveolar,Metastatic,Bronchus and lung,Male,Black or African American,Cell Line
HCM-BROD-0195-C71,BROD,"3-D: Other (e.g. neurosphere, air-liquid interface, etc.)",,50,Glioblastoma NOS,Primary,Brain,Female,White,Other
HCM-BROD-0214-C71,BROD,Cell Line,,45,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0013-C71,BROD,Cell Line,,62,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0196-C71,BROD,Cell Line,,59,Glioblastoma NOS,Primary,Brain,Male,White,Cell Line
HCM-BROD-0046-C71,BROD,Cell Line,,66,Glioblastoma NOS,Recurrent,Brain,Male,White,Cell Line
HCM-BROD-0025-C16,BROD,3-D: Organoid,,74,Stomach cancer Adenocarcinoma (NOS),Primary,Stomach,Male,White,Organoid
HCM-BROD-0020-C15,BROD,Cell Line,,68,Esophageal cancer Esophagus adenocarcinoma (NOS),Primary,Esophagus,Male,White,Cell Line
HCM-BROD-0051-C64,BROD,Cell Line,,4,Wilms tumor Favorable,Metastatic,Kidney,Male,White,Cell Line
HCM-BROD-0048-C71,BROD,Cell Line,,66,Glioblastoma NOS,Primary,Brain,Male,Not provided,Cell Line
HCM-BROD-0043-C16,BROD,Cell Line,,70,Stomach cancer Adenocarcinoma (NOS),Metastatic,Stomach,Male,White,Cell Line
HCM-BROD-0035-C49,BROD,Cell Line,,11,Rare cancers Undifferentiated sarcoma,Metastatic,Bone,Male,White,Cell Line
HCM-BROD-0118-C16,BROD,3-D: Organoid,,46,Stomach cancer Adenocarcinoma (NOS),Metastatic,Stomach,Male,Asian,Organoid
HCM-BROD-0053-C49,BROD,Cell Line,,16,Rare cancers Epithelioid sarcoma,Metastatic,Connective tissue,Female,White,Cell Line
HCM-BROD-0199-C71,BROD,Cell Line,,49,Glioblastoma NOS,Primary,Brain,Male,Asian,Cell Line
HCM-BROD-0200-C71,BROD,Cell Line,,75,Glioblastoma NOS,Primary,Brain,Male,White,Cell Line
HCM-BROD-0209-C71,BROD,Cell Line,,43,Glioblastoma NOS,Recurrent,Brain,Male,White,Cell Line
HCM-BROD-0213-C71,BROD,Cell Line,,58,Glioblastoma NOS,Recurrent,Brain,Female,White,Cell Line
HCM-BROD-0120-C15,BROD,3-D: Organoid,,47,Esophageal cancer Esophagus adenocarcinoma (NOS),Metastatic,Esophagus,Female,White,Organoid
HCM-BROD-0052-C49,BROD,Cell Line,,26,Rare cancers Spindle cell sarcoma,Primary,Connective tissue,Female,White,Cell Line
