image_data_points,molecular_data_biomarker,molecular_data_cna,molecular_data_expression,molecular_data_immunemarker,molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_other,model_type_total,sample_type_cell,sample_type_patient,sample_type_total,release,provider,treatment_data_points,model_type_pdx,sample_type_xenograft,drug_data_points
268,94,8972204,9644940,110,55227,18672843,107,94,30,231,1544,82,1626,PDCM_DR_v6.5,BROD,,,,
0,0,2861617,2869983,0,15432,5747668,107,94,30,321,0,802,802,PDCM_DR_v6.5,CCIA,636,90,,
0,0,0,0,0,0,0,110,94,30,326,0,0,0,PDCM_DR_v6.5,CDH,0,92,,
0,0,1125355,1128645,0,4841,2259477,110,94,30,361,0,315,315,PDCM_DR_v6.5,CHOP,636,127,,
1315,0,46287642,55552696,12000,8438332,110291985,1998,138,30,2293,120319,0,120319,PDCM_DR_v6.5,CMP,0,127,,
1550,438,21105072,39427529,1554,3382462,63918683,1998,138,30,2833,0,0,3741,PDCM_DR_v6.5,CRL,78,667,3741,
197,239,7153514,6308640,248,24779,13487617,1998,359,30,3054,2149,66,2215,PDCM_DR_v6.5,CSHL,0,667,0,
0,0,13206,446736,160,1287,461389,1998,391,30,3086,1688,0,1688,PDCM_DR_v6.5,CUIMC,0,667,0,
0,71,424764,0,0,32,425189,1998,406,30,3135,0,0,213,PDCM_DR_v6.5,Curie-BC,155,701,213,167
0,12,89123,0,0,495,89643,1998,406,30,3141,0,0,23,PDCM_DR_v6.5,Curie-LC,0,707,23,13
0,0,0,0,0,0,0,1998,406,30,3146,0,0,0,PDCM_DR_v6.5,Curie-OC,0,712,0,0
0,0,0,7547445,213,0,7551172,1998,406,30,3881,0,0,404,PDCM_DR_v6.5,DFCI-CPDM,0,1447,404,3514
0,0,1639803,1644597,0,7007,3293307,1998,406,30,3935,0,466,466,PDCM_DR_v6.5,GCCRI,1900,1501,0,0
163,336,0,0,0,4335,5459,1998,406,30,4045,0,70,191,PDCM_DR_v6.5,HCI-BCM,615,1611,121,10
0,0,0,60197,480,61105,121782,1998,440,30,4079,3821,0,3821,PDCM_DR_v6.5,HKU,0,1611,0,0
0,0,11658,5044592,0,25887,5082687,1998,440,30,4718,0,39,1752,PDCM_DR_v6.5,IRCCS-CRC,0,2250,1713,550
0,0,0,0,0,0,0,1998,464,30,4771,0,0,0,PDCM_DR_v6.5,IRCCS-CRO,0,2279,0,0
0,0,0,0,0,0,0,2018,464,30,4807,0,0,0,PDCM_DR_v6.5,IRCCS-CSS,0,2295,0,0
0,0,0,0,0,0,0,2020,471,30,4816,0,0,0,PDCM_DR_v6.5,IRCCS-DEB,0,2295,0,0
0,0,11809,0,0,17418,29247,2020,471,30,4892,0,0,226,PDCM_DR_v6.5,IRCCS-GC,20,2371,226,0
0,0,0,0,0,0,0,2027,474,30,4909,0,0,0,PDCM_DR_v6.5,IRCCS-HSM-GE,0,2378,0,0
0,0,0,0,0,0,0,2044,474,30,4926,0,0,0,PDCM_DR_v6.5,IRCCS-ICH,0,2378,0,0
0,0,0,0,0,0,0,2064,474,30,4946,0,0,0,PDCM_DR_v6.5,IRCCS-IDI,0,2378,0,0
0,0,0,0,0,0,0,2064,474,30,4957,0,0,0,PDCM_DR_v6.5,IRCCS-IOR,0,2389,0,0
0,0,0,0,0,0,0,2064,493,31,4979,0,0,0,PDCM_DR_v6.5,IRCCS-IRE,0,2391,0,0
0,0,0,0,0,0,0,2064,493,38,5004,0,0,0,PDCM_DR_v6.5,IRCCS-IRFMN,0,2409,0,0
0,0,0,0,0,0,0,2073,493,38,5013,0,0,0,PDCM_DR_v6.5,IRCCS-IRST,0,2409,0,0
0,0,0,0,0,0,0,2075,501,38,5023,0,0,0,PDCM_DR_v6.5,IRCCS-ITGPII,0,2409,0,0
0,0,0,0,0,0,0,2153,501,38,5101,0,0,0,PDCM_DR_v6.5,IRCCS-OPBG,0,2409,0,0
0,0,0,0,0,0,0,2153,502,38,5108,0,0,0,PDCM_DR_v6.5,IRCCS-PAS,0,2415,0,0
2680,0,147915,206523,1480,135105,494106,2153,502,38,5535,0,0,18736,PDCM_DR_v6.5,JAX,0,2842,18736,403
0,6,137715,1494257,0,93,1632111,2153,502,38,5580,0,0,140,PDCM_DR_v6.5,LIH,40,2887,140,0
0,0,1350426,1348129,0,10329,2708884,2153,502,38,5627,0,292,292,PDCM_DR_v6.5,LurieChildrens,0,2934,0,0
0,0,0,0,0,0,0,2153,502,38,5943,0,0,0,PDCM_DR_v6.5,MDAnderson,0,3250,0,0
0,0,1061049,1064151,0,5171,2130928,2153,502,38,5978,0,289,289,PDCM_DR_v6.5,MDAnderson-CCH,557,3285,0,0
0,21,1997505,2988475,0,10186355,15172356,2153,502,38,6004,0,146,254,PDCM_DR_v6.5,NKI,0,3311,108,0
0,0,0,121936842,33698,18743,121990573,2376,729,38,7135,24244,16660,125547,PDCM_DR_v6.5,PDMR,1290,3992,84643,0
0,0,3148113,0,0,311346,3459459,2376,729,38,7558,0,179,1018,PDCM_DR_v6.5,PMLB,0,4415,839,0
