image_data_points,molecular_data_biomarker,molecular_data_cna,molecular_data_expression,molecular_data_immunemarker,molecular_data_mut,molecular_data_points_total,model_type_cell_line,model_type_organoid,model_type_other,model_type_total,sample_type_cell,sample_type_patient,sample_type_total,release,provider,model_type_pdx,treatment_data_points,sample_type_xenograft,drug_data_points
268,94,8972204,9644940,110,55227,18672843,107,94,30,231,1544,82,1626,PDCM_DR_v6.6,BROD,,,,
0,0,0,0,0,0,0,297,94,30,482,0,0,0,PDCM_DR_v6.6,CCC,61,,,
0,0,2861617,2869983,0,15432,5747668,297,94,30,572,0,802,802,PDCM_DR_v6.6,CCIA,151,636,,
0,0,0,0,0,0,0,300,94,30,577,0,0,0,PDCM_DR_v6.6,CDH,153,0,,
0,0,1125355,1128645,0,4841,2259477,300,94,30,612,0,315,315,PDCM_DR_v6.6,CHOP,188,636,,
1315,0,46287642,55552696,12000,8438332,110291985,2188,138,30,2544,120319,0,120319,PDCM_DR_v6.6,CMP,188,0,,
1550,438,21105072,39427529,1554,3382462,63918683,2188,138,30,3084,0,0,3741,PDCM_DR_v6.6,CRL,728,78,3741,
197,239,7153514,6308640,248,24779,13487617,2188,359,30,3305,2149,66,2215,PDCM_DR_v6.6,CSHL,728,0,0,
0,0,13206,446736,160,1287,461389,2188,391,30,3337,1688,0,1688,PDCM_DR_v6.6,CUIMC,728,0,0,
0,71,424764,0,0,32,425189,2188,406,30,3386,0,0,213,PDCM_DR_v6.6,Curie-BC,762,155,213,167
0,12,89123,0,0,495,89643,2188,406,30,3392,0,0,23,PDCM_DR_v6.6,Curie-LC,768,0,23,13
0,0,0,0,0,0,0,2188,406,30,3397,0,0,0,PDCM_DR_v6.6,Curie-OC,773,0,0,0
0,0,0,7547445,213,0,7551172,2188,406,30,4132,0,0,404,PDCM_DR_v6.6,DFCI-CPDM,1508,0,404,3514
0,0,1639803,1644597,0,7007,3293307,2188,406,30,4186,0,466,466,PDCM_DR_v6.6,GCCRI,1562,1900,0,0
163,336,0,0,0,4335,5459,2188,406,30,4296,0,70,191,PDCM_DR_v6.6,HCI-BCM,1672,615,121,10
0,0,0,60197,480,61105,122041,2188,440,30,4330,3821,0,3821,PDCM_DR_v6.6,HKU,1672,0,0,259
0,0,11658,5044592,0,25887,5082687,2188,440,30,4969,0,39,1752,PDCM_DR_v6.6,IRCCS-CRC,2311,0,1713,550
0,0,0,0,0,0,0,2188,464,30,5022,0,0,0,PDCM_DR_v6.6,IRCCS-CRO,2340,0,0,0
0,0,0,0,0,0,0,2208,464,30,5058,0,0,0,PDCM_DR_v6.6,IRCCS-CSS,2356,0,0,0
0,0,0,0,0,0,0,2210,471,30,5067,0,0,0,PDCM_DR_v6.6,IRCCS-DEB,2356,0,0,0
0,0,11809,0,0,17418,29247,2210,471,30,5143,0,0,226,PDCM_DR_v6.6,IRCCS-GC,2432,20,226,0
0,0,0,0,0,0,0,2217,474,30,5160,0,0,0,PDCM_DR_v6.6,IRCCS-HSM-GE,2439,0,0,0
0,0,0,0,0,0,0,2234,474,30,5177,0,0,0,PDCM_DR_v6.6,IRCCS-ICH,2439,0,0,0
0,0,0,0,0,0,0,2254,474,30,5197,0,0,0,PDCM_DR_v6.6,IRCCS-IDI,2439,0,0,0
0,0,0,0,0,0,0,2254,474,30,5208,0,0,0,PDCM_DR_v6.6,IRCCS-IOR,2450,0,0,0
0,0,0,0,0,0,0,2254,493,31,5230,0,0,0,PDCM_DR_v6.6,IRCCS-IRE,2452,0,0,0
0,0,0,0,0,0,0,2254,493,38,5255,0,0,0,PDCM_DR_v6.6,IRCCS-IRFMN,2470,0,0,0
0,0,0,0,0,0,0,2263,493,38,5264,0,0,0,PDCM_DR_v6.6,IRCCS-IRST,2470,0,0,0
0,0,0,0,0,0,0,2265,501,38,5274,0,0,0,PDCM_DR_v6.6,IRCCS-ITGPII,2470,0,0,0
0,0,0,0,0,0,0,2343,501,38,5352,0,0,0,PDCM_DR_v6.6,IRCCS-OPBG,2470,0,0,0
0,0,0,0,0,0,0,2343,502,38,5359,0,0,0,PDCM_DR_v6.6,IRCCS-PAS,2476,0,0,0
2680,0,147915,206523,1480,135105,494106,2343,502,38,5786,0,0,18736,PDCM_DR_v6.6,JAX,2903,0,18736,403
0,6,137715,1494257,0,93,1632111,2343,502,38,5831,0,0,140,PDCM_DR_v6.6,LIH,2948,40,140,0
0,0,1350426,1348129,0,10329,2708884,2343,502,38,5878,0,292,292,PDCM_DR_v6.6,LurieChildrens,2995,0,0,0
0,354,7296,0,0,18625,26275,2343,507,38,5942,0,0,473,PDCM_DR_v6.6,MBDI,3054,0,473,0
0,0,0,0,0,0,0,2343,507,38,6258,0,0,0,PDCM_DR_v6.6,MDAnderson,3370,0,0,0
0,0,1061049,1064151,0,5171,2130928,2343,507,38,6293,0,289,289,PDCM_DR_v6.6,MDAnderson-CCH,3405,557,0,0
0,21,1997505,2988475,0,10186355,15172356,2343,507,38,6319,0,146,254,PDCM_DR_v6.6,NKI,3431,0,108,0
0,0,0,121936842,33698,18743,121990573,2566,734,38,7450,24244,16660,125547,PDCM_DR_v6.6,PDMR,4112,1290,84643,0
0,0,3148113,0,0,311346,3459459,2566,734,38,7873,0,179,1018,PDCM_DR_v6.6,PMLB,4535,0,839,0
0,0,0,0,0,0,0,2566,986,38,8125,0,0,0,PDCM_DR_v6.6,PMLB-Organoid,4535,0,0,0
103,123,5213578,3882240,105,20120,9116269,2566,1102,38,8241,998,18,1016,PDCM_DR_v6.6,SANG,4535,0,0,0
796,0,28,0,678,527307,528809,2566,1102,38,8527,0,67,2007,PDCM_DR_v6.6,SJCRH,4821,0,1940,0
0,94,0,0,0,10,192,2566,1102,38,8558,0,18,31,PDCM_DR_v6.6,TRACE,4852,80,13,8
0,0,0,0,0,0,0,2566,1102,38,8585,0,0,0,PDCM_DR_v6.6,UCD,4879,0,0,0
0,0,0,0,0,0,0,2566,1102,38,8593,0,0,0,PDCM_DR_v6.6,UMCG,4887,0,0,0
0,0,0,0,0,0,0,2566,1269,38,8760,0,0,0,PDCM_DR_v6.6,UMCU,4887,0,0,0
0,240,1020326,595188,0,7994,1623858,2566,1269,38,8819,0,151,326,PDCM_DR_v6.6,UOC-BC,4946,110,175,0
0,102,0,402940,0,204,403286,2566,1269,38,8831,0,12,53,PDCM_DR_v6.6,UOM-BC,4958,40,41,0
0,23,0,0,0,0,23,2566,1269,38,8838,0,2,9,PDCM_DR_v6.6,VHIO-BC,4965,0,7,0
0,0,0,0,0,299,299,2566,1269,38,8912,0,0,4,PDCM_DR_v6.6,VHIO-CRC,5039,0,4,0
0,0,0,0,0,0,0,2566,1269,38,8955,0,0,0,PDCM_DR_v6.6,VHIO-PC,5082,0,0,0
22,25,545607,727920,15,5383,1278972,2566,1284,38,8970,147,6,153,PDCM_DR_v6.6,WCMC,5082,0,0,0
0,0,0,0,0,63407,63407,2566,1284,38,9089,0,0,24,PDCM_DR_v6.6,WUSTL,5201,0,24,0
0,0,0,0,0,0,0,2566,1284,38,9346,0,0,0,PDCM_DR_v6.6,Wistar-MDAnderson-Penn,5458,0,0,0
