sample_id,platform_id_x,type,provider,molecular_characterisation_type,instrument_model,library_strategy,platform_id_y,model_id,sample_origin
Oncotest-R0026,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-546,xenograft
Oncotest-R0026,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-546,xenograft
Oncotest-R0074,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-3039,xenograft
Oncotest-R0074,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-3039,xenograft
Oncotest-R0042,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2131,xenograft
Oncotest-R0042,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2131,xenograft
CRL-R0160,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2938,xenograft
CRL-R0160,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2938,xenograft
Oncotest-R0033,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2045,xenograft
Oncotest-R0033,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2045,xenograft
EP01R0013,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-397,xenograft
EP01R0013,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-397,xenograft
CRL-R0200,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2521,xenograft
CRL-R0200,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2521,xenograft
Oncotest-R0005,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1997,xenograft
Oncotest-R0005,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1997,xenograft
CRL-R0221,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2050,xenograft
CRL-R0221,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2050,xenograft
CRL-R0185,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-625,xenograft
CRL-R0185,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-625,xenograft
CRL-R0226,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-MRI-H-215,xenograft
CRL-R0226,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-MRI-H-215,xenograft
CRL-R0247,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-4031,xenograft
CRL-R0247,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-4031,xenograft
CRL-R0187,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1834,xenograft
CRL-R0187,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1834,xenograft
CRL-R0166,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-LI-002,xenograft
CRL-R0166,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-LI-002,xenograft
B01R0011,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-592,xenograft
B01R0011,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-592,xenograft
B01R0010,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-586,xenograft
B01R0010,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-586,xenograft
Oncotest-R0106,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2324,xenograft
Oncotest-R0106,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2324,xenograft
CRL-R0262,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2873,xenograft
CRL-R0262,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2873,xenograft
CRL-R0263,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1407,xenograft
CRL-R0263,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1407,xenograft
Oncotest-R0043,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2132,xenograft
Oncotest-R0043,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2132,xenograft
CRL-R0208,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2640,xenograft
CRL-R0208,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2640,xenograft
Oncotest-R0072,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-633,xenograft
Oncotest-R0072,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-633,xenograft
CRL-R0233,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2085,xenograft
CRL-R0233,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2085,xenograft
CRL-R0206,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2708,xenograft
CRL-R0206,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2708,xenograft
Oncotest-R0034,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2046,xenograft
Oncotest-R0034,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2046,xenograft
Oncotest-R0066,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2720,xenograft
Oncotest-R0066,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2720,xenograft
Oncotest-R0069,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2734,xenograft
Oncotest-R0069,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2734,xenograft
Oncotest-R0147,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2052,xenograft
Oncotest-R0147,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2052,xenograft
Oncotest-R0021,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2250,xenograft
Oncotest-R0021,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2250,xenograft
CRL-R0152,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-OV-027,xenograft
CRL-R0152,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-OV-027,xenograft
CRL-R0183,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-430,xenograft
CRL-R0183,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-430,xenograft
Oncotest-R0071,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1228,xenograft
Oncotest-R0071,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1228,xenograft
CRL-R0229,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2709,xenograft
CRL-R0229,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2709,xenograft
A01R0007,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2127,xenograft
A01R0007,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2127,xenograft
A01R0017,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-975,xenograft
A01R0017,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-975,xenograft
CRL-R0205,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-2443,xenograft
CRL-R0205,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-2443,xenograft
Oncotest-R0091,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1176,xenograft
Oncotest-R0091,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1176,xenograft
C01R0007,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-1162,xenograft
C01R0007,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-1162,xenograft
Oncotest-R0061,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,mutation_RNA_sequencing,CRL-550,xenograft
Oncotest-R0061,mutation_RNA_sequencing,mut,CRL,mutation,RNA sequencing,rna sequencing,expression_ILLUMINA,CRL-550,xenograft
